text,label
"WhatsApp status pettanu motivational quote, nenu depressed undoo — content and life different",1
"Rakesh LinkedIn lo 'open to work' pettadu, recruiter leduu, relatives vasindi — wrong platform response",1
"Hindupur chala big city undi, population chaallu undi currently",0
"today linear algebra lab session undi, experiment complete chesaadhu",0
"state lo rainfall chaalaa undy this monsoon season, reservoirs full avvunu",0
reading habit challa useful undie long term lo anukuntunna,0
"professor cheppadu 'attendance mandatory', Rakesh proxy pettadu, professor ne proxy ichadu — full circle bru",1
mirchi bajji preparation method different ga undii different regions lo,0
"Twitter lo argument chesaadhu Pavan, 200 replies vasindi, everyone against — ratio avunuu broh",1
"nenu Dunzo lo payment chesadhu bill ki, easy ga undii",0
"office coffee machine broken avunuu, entire team productivity zero — dependency confirmed bru",1
"Telugu language chaalaa old language undoo, rich literature undii",0
"power cut avvunuu Rajahmundry lo, exam night lo — God timing perfect brooo",1
algorithms concepts chaala important undie software engineering ki,0
group study sometimes helpful avvunu anukunde complex subjects ki,0
"amma cheppiindi 'doctor avutav' ani, naa marks chusaka 'compounder avunuu kadha' ani update chesdu",1
"naa life okkaa hero laa start avvunuu — but interval leduu, climax ledu, budget laedu",1
"Sai assignment last minute chesdu, font 16, margins wide, 3 pages done — engineering at its peak",1
TOC interesting subject undoo naa opinion lo,0
Eluru lo okkaa new Roposo office open avnu this month,0
attu preparation method different ga undie different regions lo,0
"Telugu language challaa old language undy, rich literature undy",0
"Babu cheppadu tomorrow Nellore lo program undy ani, attend chestava adugadu",0
"Kavya cheppiindi notes share cheyyi ani, share chesanu",0
"Netflix order cancel aayindi, money 7 days lo refund avunu ani cheppindi — 7 days lo naa hunger wait ledhu",1
teamwork skills develop avvunuu group projects tho anukuntunna,0
Secunderabad lo transport options improve avvunu metro tho,0
"PhonePe notification off chesanu, silent mode chesaadu, still distracted avvunuu — problem internal broh",1
"internals lo Dinesh ki 9/30 vasthe 'grace marks' antadu, grace means 9 ye brooo",1
"Chintu deadline miss chesadu, 'estimation ga chesanu' annadu — estimation = guess confirmed bro",1
"rain start avunu — naa umbrella room lo undie, nenu Ongole middle lo undy",1
"Eluru lo colleges challa undii, students everywhere undi anukuntaa",0
"propose chesanu WhatsApp lo, Swathi blue tick chesaadu, reply ledu — left on read forever brooo",1
"mail ki 'as per my last mail' chesadu, war started avvunu — corporate battlefield bro",1
"hostel cricket lo Rahul out avunuu, 'no ball' ani argue chesadhu — classic denial",1
"Hema 'nuwu change avvali' annadi, Lokesh hairstyle change chesaadu — nenu try chesanu brooo",1
"nenu sambar tinnanu, chaala undoo anukunta",0
"power cut ayindhi, phone dead, fan leduu, summer — Eluru punishment level heat",1
"naa discrete maths class night lo undie, attend chesanu",0
time management important skill undi students ki anukuntunna,0
